Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-08,7.0,100.0,100.0,100.0,13810.0,1381000.0,100.0,0.0
2012-07-16,1.0,100.0,100.0,100.0,50.0,5000.0,100.0,0.0
2012-08-01,2.0,99.0,99.0,99.0,70.0,6930.0,100.0,-1.0
2012-09-18,1.0,100.0,100.0,100.0,20.0,2000.0,99.0,1.0
2013-02-05,2.0,98.0,98.0,98.0,330.0,32340.0,100.0,-2.0
2013-05-20,2.0,97.0,96.0,96.0,70.0,6740.0,98.0,-2.0
2013-07-07,5.0,98.0,97.0,98.0,80.0,7780.0,96.0,2.0
2013-07-08,6.0,101.0,99.0,100.0,11240.0,1123940.0,98.0,2.0
2013-07-09,3.0,100.0,100.0,100.0,310.0,31000.0,100.0,0.0
2013-08-01,1.0,100.0,100.0,100.0,609080.0,60908000.0,100.0,0.0
2013-08-04,2.0,100.0,100.0,100.0,120.0,12000.0,100.0,0.0
2013-08-11,6.0,98.0,98.0,98.0,150.0,14700.0,100.0,-2.0
2013-10-07,1.0,99.0,99.0,99.0,400.0,39600.0,98.0,1.0
2013-10-22,5.0,100.0,100.0,100.0,70.0,7000.0,99.0,1.0
2013-10-31,4.0,98.0,98.0,98.0,40.0,3920.0,100.0,-2.0
2013-12-03,1.0,99.0,99.0,99.0,100.0,9900.0,98.0,1.0
2014-03-24,1.0,100.0,100.0,100.0,60.0,6000.0,99.0,1.0
2014-03-27,1.0,100.0,100.0,100.0,59000.0,5900000.0,100.0,0.0
2014-04-02,1.0,100.0,100.0,100.0,100.0,10000.0,100.0,0.0
2014-04-03,9.0,110.0,102.0,110.0,100.0,10600.0,100.0,10.0
2014-04-09,1.0,112.0,112.0,112.0,20.0,2240.0,110.0,2.0
2014-04-17,2.0,116.0,114.0,116.0,1020.0,118280.0,112.0,4.0
2014-04-23,1.0,118.0,118.0,118.0,100.0,11800.0,116.0,2.0
2014-04-27,3.0,124.0,120.0,124.0,400.0,48800.0,118.0,6.0
