,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
54,2019-06-12,379.0,670.0,656.0,665.0,64326.0,42543343.0,667.0,-2.0
71,2019-07-07,120.0,616.0,610.0,616.0,15003.0,9197851.0,615.0,1.0
89,2019-07-31,136.0,617.0,597.0,602.0,21180.0,12793460.0,597.0,5.0
107,2019-08-26,49.0,574.0,570.0,573.0,10915.0,6246270.0,578.0,-5.0
127,2019-09-23,149.0,570.0,535.0,553.0,21656.0,12052503.0,543.0,10.0
157,2019-11-17,535.0,479.0,433.0,433.0,91077.0,40434438.0,481.0,-48.0
158,2019-11-18,332.0,433.0,408.0,424.0,48812.0,20560690.0,433.0,-9.0
161,2019-11-21,97.0,417.0,405.0,410.0,12935.0,5289875.0,419.0,-9.0
175,2019-12-11,89.0,385.0,380.0,384.0,15525.0,5926390.0,384.0,0.0
176,2019-12-12,137.0,385.0,377.0,380.0,23251.0,8813713.0,384.0,-4.0
177,2019-12-15,307.0,377.0,351.0,363.0,55221.0,20124372.0,380.0,-17.0
178,2019-12-16,149.0,365.0,351.0,355.0,22057.0,7829511.0,363.0,-8.0
179,2019-12-17,92.0,361.0,352.0,360.0,12152.0,4324785.0,355.0,5.0
183,2019-12-23,685.0,457.0,422.0,457.0,133065.0,58560152.0,416.0,41.0
184,2019-12-24,1126.0,493.0,441.0,445.0,219050.0,103312132.0,457.0,-12.0
193,2020-01-06,303.0,499.0,478.0,484.0,77045.0,37303255.0,490.0,-6.0
194,2020-01-07,177.0,490.0,475.0,477.0,34035.0,16318575.0,484.0,-7.0
197,2020-01-12,319.0,515.0,479.0,495.0,80580.0,39824149.0,477.0,18.0
198,2020-01-13,214.0,505.0,487.0,491.0,40469.0,19933345.0,495.0,-4.0
200,2020-01-15,133.0,490.0,477.0,477.0,35944.0,17286612.0,490.0,-13.0
204,2020-01-21,449.0,547.0,505.0,527.0,108179.0,57012616.0,515.0,12.0
207,2020-01-26,251.0,520.0,503.0,510.0,58838.0,30039663.0,511.0,-1.0
208,2020-01-27,168.0,518.0,505.0,511.0,35813.0,18308050.0,510.0,1.0
211,2020-01-30,333.0,539.0,510.0,522.0,73610.0,38290977.0,508.0,14.0
212,2020-02-02,457.0,550.0,522.0,535.0,103631.0,55360819.0,522.0,13.0
213,2020-02-03,174.0,547.0,525.0,527.0,37585.0,19886190.0,535.0,-8.0
218,2020-02-10,966.0,568.0,517.0,544.0,251062.0,136602463.0,522.0,22.0
220,2020-02-12,544.0,586.0,545.0,579.0,175730.0,98445080.0,558.0,21.0
222,2020-02-16,797.0,609.0,570.0,604.0,218650.0,130500269.0,577.0,27.0
