,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
49,2019-06-12,4.0,484.0,462.0,484.0,3010.0,1439620.0,440.0,44.0
51,2019-07-07,1.0,484.0,484.0,484.0,2.0,986.0,484.0,0.0
54,2019-07-31,1.0,493.0,493.0,493.0,10.0,4930.0,484.0,9.0
57,2019-08-26,1.0,603.0,603.0,603.0,10.0,6030.0,575.0,28.0
59,2019-09-23,1.0,658.0,658.0,658.0,10.0,6580.0,627.0,31.0
65,2019-11-17,5.0,1037.0,961.0,1037.0,50.0,49950.0,943.0,94.0
66,2019-11-18,6.0,1140.0,1057.0,1140.0,150.0,168940.0,1037.0,103.0
69,2019-11-21,148.0,1516.0,1406.0,1516.0,7993.0,12042967.0,1379.0,137.0
83,2019-12-11,62.0,1562.0,1471.0,1562.0,5950.0,8929985.0,1450.0,112.0
84,2019-12-12,57.0,1592.0,1490.0,1490.0,3249.0,4869310.0,1562.0,-72.0
85,2019-12-15,67.0,1607.0,1518.0,1550.0,4138.0,6412616.0,1490.0,60.0
86,2019-12-16,57.0,1580.0,1522.0,1536.0,2500.0,3833300.0,1550.0,-14.0
87,2019-12-17,62.0,1687.0,1512.0,1596.0,6126.0,9518525.0,1536.0,60.0
91,2019-12-23,33.0,1673.0,1560.0,1610.0,2072.0,3348854.0,1591.0,19.0
92,2019-12-24,38.0,1698.0,1550.0,1616.0,11942.0,18728589.0,1610.0,6.0
101,2020-01-06,23.0,2004.0,1930.0,1964.0,1354.0,2638920.0,2005.0,-41.0
102,2020-01-07,25.0,2062.0,1880.0,1980.0,889.0,1721195.0,1964.0,16.0
105,2020-01-12,107.0,2035.0,1921.0,2003.0,7497.0,14781978.0,1969.0,34.0
106,2020-01-13,81.0,2190.0,2009.0,2110.0,4341.0,9031805.0,2003.0,107.0
108,2020-01-15,86.0,2546.0,2367.0,2500.0,3571.0,8890140.0,2321.0,179.0
112,2020-01-21,53.0,2500.0,2374.0,2459.0,3518.0,8543015.0,2450.0,9.0
115,2020-01-26,41.0,2445.0,2321.0,2357.0,1760.0,4138720.0,2397.0,-40.0
116,2020-01-27,30.0,2489.0,2383.0,2489.0,1202.0,2912580.0,2357.0,132.0
