,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
557,2019-06-12,5.0,19700.0,19310.0,19696.0,90.0,1749560.0,19700.0,-4.0
569,2019-07-07,1.0,20250.0,20250.0,20250.0,10.0,202500.0,20035.0,215.0
574,2019-07-31,1.0,20195.0,20195.0,20195.0,10.0,201950.0,20000.0,195.0
577,2019-08-26,2.0,20000.0,19600.0,19600.0,20.0,396000.0,20000.0,-400.0
585,2019-09-23,1.0,18621.0,18621.0,18621.0,10.0,186210.0,19000.0,-379.0
589,2019-11-17,1.0,19796.0,19796.0,19796.0,10.0,197960.0,20200.0,-404.0
590,2019-11-18,1.0,19401.0,19401.0,19401.0,10.0,194010.0,19796.0,-395.0
591,2019-11-21,4.0,19015.0,19013.0,19013.0,50.0,950670.0,19401.0,-388.0
592,2019-12-11,2.0,18633.0,18261.0,18261.0,20.0,368940.0,19013.0,-752.0
593,2019-12-12,2.0,17900.0,17542.0,17542.0,20.0,354420.0,18261.0,-719.0
594,2019-12-15,1.0,17892.0,17892.0,17892.0,10.0,178920.0,17542.0,350.0
595,2019-12-16,1.0,17892.0,17892.0,17892.0,20.0,357840.0,17892.0,0.0
596,2019-12-17,3.0,17535.0,17185.0,17500.0,30.0,522200.0,17892.0,-392.0
597,2019-12-23,3.0,18571.0,17850.0,18571.0,30.0,546280.0,17500.0,1071.0
598,2019-12-24,1.0,18941.0,18941.0,18941.0,10.0,189410.0,18571.0,370.0
599,2020-01-06,2.0,19000.0,18941.0,19000.0,20.0,379410.0,18941.0,59.0
600,2020-01-07,1.0,19050.0,19050.0,19050.0,10.0,190500.0,19000.0,50.0
601,2020-01-12,1.0,19050.0,19050.0,19050.0,50.0,952500.0,19050.0,0.0
602,2020-01-13,1.0,19100.0,19100.0,19100.0,10.0,191000.0,19050.0,50.0
603,2020-01-15,4.0,19300.0,19000.0,19300.0,40.0,768700.0,19100.0,200.0
604,2020-01-21,2.0,19300.0,19300.0,19300.0,20.0,386000.0,19300.0,0.0
605,2020-01-26,1.0,18914.0,18914.0,18914.0,10.0,189140.0,19300.0,-386.0
606,2020-01-27,1.0,18914.0,18914.0,18914.0,10.0,189140.0,18914.0,0.0
607,2020-01-30,1.0,18536.0,18536.0,18536.0,10.0,185360.0,18914.0,-378.0
608,2020-02-02,2.0,19050.0,18906.0,19050.0,20.0,379560.0,18536.0,514.0
609,2020-02-03,1.0,19350.0,19350.0,19350.0,10.0,193500.0,19050.0,300.0
610,2020-02-10,1.0,18963.0,18963.0,18963.0,10.0,189630.0,19350.0,-387.0
611,2020-02-12,3.0,18590.0,18584.0,18584.0,30.0,557590.0,18963.0,-379.0
612,2020-02-16,1.0,18213.0,18213.0,18213.0,10.0,182130.0,18584.0,-371.0
613,2020-02-18,1.0,17849.0,17849.0,17849.0,10.0,178490.0,18213.0,-364.0
614,2020-02-25,8.0,19633.0,18205.0,19633.0,80.0,1525000.0,17849.0,1784.0
615,2020-02-26,18.0,21596.0,20025.0,21596.0,270.0,5792400.0,19633.0,1963.0
616,2020-02-27,13.0,23345.0,22000.0,23330.0,130.0,2962470.0,21596.0,1734.0
617,2020-03-01,9.0,22865.0,21959.0,22000.0,110.0,2459710.0,23330.0,-1330.0
618,2020-03-03,1.0,22440.0,22440.0,22440.0,10.0,224400.0,22000.0,440.0
619,2020-03-05,2.0,21992.0,21553.0,21553.0,20.0,435450.0,22440.0,-887.0
620,2020-03-16,3.0,21122.0,20286.0,20286.0,30.0,621080.0,21553.0,-1267.0
621,2020-03-17,4.0,19881.0,19095.0,19200.0,40.0,776600.0,20286.0,-1086.0
622,2020-07-01,1.0,19584.0,19584.0,19584.0,10.0,195840.0,19200.0,384.0
623,2020-07-05,2.0,19193.0,19193.0,19193.0,20.0,383860.0,19584.0,-391.0
624,2020-07-08,3.0,19186.0,18810.0,19186.0,40.0,756160.0,19193.0,-7.0
625,2020-07-09,1.0,19569.0,19569.0,19569.0,10.0,195690.0,19186.0,383.0
626,2020-07-12,1.0,19500.0,19500.0,19500.0,20.0,390000.0,19569.0,-69.0
627,2020-07-14,1.0,19111.0,19111.0,19111.0,10.0,191110.0,19500.0,-389.0
628,2020-07-15,4.0,18800.0,18457.0,18800.0,50.0,932610.0,19111.0,-311.0
629,2020-07-21,5.0,19975.0,19020.0,19975.0,50.0,967990.0,18800.0,1175.0
630,2020-07-22,2.0,19966.0,19576.0,19966.0,20.0,395420.0,19975.0,-9.0
631,2020-07-26,4.0,20360.0,19554.0,19554.0,50.0,989750.0,19966.0,-412.0
632,2020-07-27,2.0,19600.0,19554.0,19600.0,30.0,587540.0,19554.0,46.0
633,2020-07-28,4.0,19600.0,19210.0,19210.0,60.0,1168200.0,19600.0,-390.0
634,2020-07-29,1.0,19210.0,19210.0,19210.0,10.0,192100.0,19210.0,0.0
635,2020-07-30,1.0,19210.0,19210.0,19210.0,20.0,384200.0,19210.0,0.0
636,2020-08-02,1.0,19210.0,19210.0,19210.0,16.0,307360.0,19210.0,0.0
637,2020-08-03,2.0,19210.0,19210.0,19210.0,30.0,576300.0,19210.0,0.0
638,2020-08-05,1.0,19210.0,19210.0,19210.0,10.0,192100.0,19210.0,0.0
639,2020-08-10,2.0,19000.0,19000.0,19000.0,20.0,380000.0,19210.0,-210.0
640,2020-08-11,4.0,19000.0,19000.0,19000.0,70.0,1330000.0,19000.0,0.0
641,2020-08-13,2.0,19000.0,19000.0,19000.0,56.0,1064000.0,19000.0,0.0
642,2020-08-16,14.0,18620.0,17884.0,18200.0,170.0,3076350.0,19000.0,-800.0
643,2020-08-17,2.0,18300.0,18300.0,18300.0,21.0,384300.0,18200.0,100.0
644,2020-08-18,3.0,18300.0,18300.0,18300.0,31.0,567300.0,18300.0,0.0
645,2020-08-20,2.0,18500.0,18130.0,18130.0,20.0,366300.0,18300.0,-170.0
646,2020-08-23,2.0,18492.0,18492.0,18492.0,20.0,369840.0,18130.0,362.0
647,2020-08-24,1.0,18800.0,18800.0,18800.0,10.0,188000.0,18492.0,308.0
648,2020-08-25,1.0,19000.0,19000.0,19000.0,10.0,190000.0,18800.0,200.0
649,2020-08-26,2.0,19098.0,19000.0,19098.0,20.0,380980.0,19000.0,98.0
650,2020-08-27,1.0,18717.0,18717.0,18717.0,10.0,187170.0,19098.0,-381.0
651,2020-08-31,2.0,18870.0,18500.0,18870.0,20.0,373700.0,18717.0,153.0
652,2020-09-06,3.0,19247.0,19010.0,19150.0,30.0,574070.0,18870.0,280.0
653,2020-09-10,5.0,19890.0,19500.0,19890.0,50.0,981900.0,19150.0,740.0
654,2020-09-13,3.0,20250.0,19900.0,19900.0,30.0,603500.0,19890.0,10.0
655,2020-09-14,3.0,20000.0,19900.0,19900.0,30.0,598000.0,19900.0,0.0
656,2020-09-17,1.0,19502.0,19502.0,19502.0,10.0,195020.0,19900.0,-398.0
658,2020-09-21,1.0,19800.0,19800.0,19800.0,15.0,297000.0,19889.0,-89.0
659,2020-09-22,4.0,19890.0,19780.0,19800.0,40.0,792700.0,19800.0,0.0
660,2020-09-23,1.0,19800.0,19800.0,19800.0,10.0,198000.0,19800.0,0.0
661,2020-09-24,3.0,19800.0,19404.0,19404.0,40.0,780120.0,19800.0,-396.0
662,2020-09-27,19.0,19074.0,17850.0,18025.0,220.0,4020630.0,19404.0,-1379.0
663,2020-09-28,18.0,18200.0,17800.0,17901.0,236.0,4241000.0,18025.0,-124.0
664,2020-09-29,6.0,18259.0,17895.0,17895.0,60.0,1084640.0,17901.0,-6.0
665,2020-09-30,1.0,18200.0,18200.0,18200.0,10.0,182000.0,17895.0,305.0
666,2020-10-01,4.0,18200.0,17880.0,17900.0,45.0,808210.0,18200.0,-300.0
667,2020-10-04,5.0,18050.0,17900.0,18050.0,50.0,900500.0,17900.0,150.0
668,2020-10-05,1.0,18100.0,18100.0,18100.0,10.0,181000.0,18050.0,50.0
669,2020-10-06,4.0,18100.0,18100.0,18100.0,100.0,1810000.0,18100.0,0.0
670,2020-10-07,5.0,18252.0,18150.0,18150.0,50.0,908520.0,18100.0,50.0
671,2020-10-11,9.0,18000.0,17787.0,17800.0,130.0,2333750.0,18150.0,-350.0
672,2020-10-13,2.0,18350.0,18000.0,18350.0,60.0,1083500.0,17800.0,550.0
673,2020-10-14,4.0,18717.0,18129.0,18129.0,40.0,736880.0,18350.0,-221.0
674,2020-10-15,17.0,18129.0,17421.0,17501.0,250.0,4404680.0,18129.0,-628.0
