SN,open,high,low,close,change,pct_change,turnover,date
1,"2,046.62","2,046.62","2,013.75","2,017.46",-27.26,-1.33,"1,443,432,770.47",2022-07-22
2,"2,052.95","2,065.86","2,038.58","2,044.72",-5.87,-0.29,"1,642,648,586.50",2022-07-21
3,"2,046.21","2,061.31","2,033.46","2,050.59",4.89,0.24,"1,731,832,270.04",2022-07-20
4,"2,029.71","2,062.07","2,029.29","2,045.70",16.27,0.80,"2,299,316,326.28",2022-07-19
5,"2,011.71","2,029.43","2,000.19","2,029.43",18.03,0.90,"1,312,962,959.61",2022-07-18
6,"2,010.92","2,018.85","1,994.75","2,011.40",1.94,0.10,"1,232,488,082.72",2022-07-17
7,"2,002.96","2,009.47","1,989.42","2,009.46",7.93,0.40,"1,456,259,832.87",2022-07-15
8,"1,987.32","2,011.72","1,977.26","2,001.53",14.71,0.74,"2,411,834,599.35",2022-07-14
9,"1,928.50","1,986.83","1,928.50","1,986.82",59.54,3.09,"2,044,443,007.47",2022-07-13
10,"1,916.41","1,947.53","1,908.89","1,927.28",11.68,0.61,"1,707,752,977.82",2022-07-12
11,"1,993.33","1,993.55","1,913.19","1,915.61",-77.01,-3.86,"2,325,641,022.25",2022-07-11
12,"2,031.87","2,033.06","1,988.96","1,992.62",-34.70,-1.71,"1,168,451,395.02",2022-07-08
13,"2,051.50","2,079.30","2,023.13","2,027.32",-16.60,-0.81,"1,806,204,764.98",2022-07-07
14,"2,036.46","2,046.92","1,995.18","2,043.92",13.33,0.66,"2,178,655,700.71",2022-07-06
15,"2,078.63","2,091.29","2,026.37","2,030.59",-46.08,-2.22,"2,968,485,223.95",2022-07-05
16,"2,095.62","2,148.16","2,059.25","2,076.67",-9.75,-0.47,"4,349,273,593.20",2022-07-04
17,"2,028.79","2,086.42","2,021.00","2,086.42",57.65,2.84,"2,480,473,998.90",2022-07-03
18,"2,041.94","2,053.39","2,016.75","2,028.77",-8.87,-0.44,"1,459,312,015.14",2022-07-01
19,"1,966.86","2,037.64","1,966.86","2,037.64",74.93,3.82,"2,458,619,494.89",2022-06-30
20,"1,925.74","1,963.48","1,915.44","1,962.71",41.39,2.15,"1,431,400,640.64",2022-06-29
21,"1,935.54","1,935.54","1,909.29","1,921.31",-11.82,-0.61,"1,058,263,522.26",2022-06-28
22,"1,967.30","1,985.91","1,931.64","1,933.13",-23.85,-1.22,"2,044,831,947.70",2022-06-27
23,"1,863.47","1,956.99","1,863.47","1,956.98",94.92,5.10,"2,196,141,848.83",2022-06-26
24,"1,848.38","1,878.97","1,807.18","1,862.06",13.78,0.75,"1,151,208,031.19",2022-06-24
25,"1,889.40","1,889.40","1,836.00","1,848.28",-45.25,-2.39,"1,499,709,634.92",2022-06-23
26,"1,925.46","1,926.07","1,890.07","1,893.53",-31.21,-1.62,"843,773,459.02",2022-06-22
27,"1,884.25","1,931.89","1,878.39","1,924.74",39.93,2.12,"1,253,757,714.92",2022-06-21
28,"1,934.03","1,934.08","1,880.01","1,884.81",-49.31,-2.55,"1,750,600,171.41",2022-06-20
29,"1,971.84","1,973.79","1,929.24","1,934.11",-37.27,-1.89,"1,134,091,212.35",2022-06-19
30,"1,981.21","1,990.88","1,967.23","1,971.38",-7.56,-0.38,"736,312,157.98",2022-06-17
31,"1,966.89","1,993.40","1,950.93","1,978.94",12.57,0.64,"1,187,145,518.65",2022-06-16
32,"1,999.05","1,999.05","1,946.47","1,966.37",-29.89,-1.50,"1,491,758,817.38",2022-06-15
33,"2,032.53","2,034.34","1,990.51","1,996.26",-36.07,-1.78,"1,185,546,179.44",2022-06-14
34,"2,049.31","2,052.29","2,027.22","2,032.34",-15.82,-0.77,"998,674,262.44",2022-06-13
35,"2,067.76","2,069.37","2,036.61","2,048.16",-14.64,-0.71,"894,124,114.10",2022-06-10
36,"2,082.45","2,115.59","2,058.52","2,062.81",-17.64,-0.85,"1,472,690,554.24",2022-06-09
37,"2,019.54","2,096.14","2,017.47","2,080.45",60.22,2.98,"1,640,356,608.04",2022-06-08
38,"2,065.19","2,065.19","2,016.81","2,020.23",-45.59,-2.21,"1,312,806,562.64",2022-06-07
39,"2,079.60","2,093.08","2,054.29","2,065.82",-12.89,-0.62,"1,273,385,276.82",2022-06-06
40,"2,113.13","2,117.03","2,072.08","2,078.71",-33.76,-1.60,"1,307,359,540.80",2022-06-03
41,"2,130.35","2,142.46","2,107.97","2,112.47",-18.26,-0.86,"1,161,514,168.66",2022-06-02
42,"2,138.06","2,154.03","2,119.53","2,130.73",-7.19,-0.34,"1,078,484,181.94",2022-06-01
43,"2,172.02","2,172.02","2,126.81","2,137.92",-35.53,-1.63,"1,317,699,089.62",2022-05-31
44,"2,227.43","2,232.23","2,175.91","2,173.44",-50.33,-2.26,"1,338,856,282.36",2022-05-30
45,"2,242.46","2,250.37","2,214.94","2,223.78",-15.82,-0.71,"1,298,905,589.57",2022-05-27
46,"2,240.61","2,245.18","2,222.90","2,239.60",8.03,0.36,"889,834,908.59",2022-05-26
47,"2,222.49","2,243.21","2,222.24","2,231.57",14.37,0.65,"1,044,626,939.45",2022-05-25
48,"2,203.14","2,227.36","2,190.69","2,217.19",16.32,0.74,"1,088,833,541.72",2022-05-24
49,"2,241.26","2,248.91","2,191.60","2,200.88",-34.21,-1.53,"1,369,513,191.50",2022-05-23
50,"2,251.49","2,258.26","2,231.46","2,235.09",-15.82,-0.70,"932,206,084.33",2022-05-20
