Date,HDL,SHIVM,STC,UNL
2019-06-12,1717.0,665.0,484.0,19696.0
2019-07-07,1685.0,616.0,484.0,20250.0
2019-07-31,1578.0,602.0,493.0,20195.0
2019-08-26,1560.0,573.0,603.0,19600.0
2019-09-23,1473.0,553.0,658.0,18621.0
2019-11-17,1784.0,433.0,1037.0,19796.0
2019-11-18,1774.0,424.0,1140.0,19401.0
2019-11-21,1750.0,410.0,1516.0,19013.0
2019-12-11,1260.0,384.0,1562.0,18261.0
2019-12-12,1241.0,380.0,1490.0,17542.0
2019-12-15,1255.0,363.0,1550.0,17892.0
2019-12-16,1245.0,355.0,1536.0,17892.0
2019-12-17,1249.0,360.0,1596.0,17500.0
2019-12-23,1254.0,457.0,1610.0,18571.0
2019-12-24,1244.0,445.0,1616.0,18941.0
2020-01-06,1211.0,484.0,1964.0,19000.0
2020-01-07,1213.0,477.0,1980.0,19050.0
2020-01-12,1235.0,495.0,2003.0,19050.0
2020-01-13,1224.0,491.0,2110.0,19100.0
2020-01-15,1248.0,477.0,2500.0,19300.0
2020-01-21,1274.0,527.0,2459.0,19300.0
2020-01-26,1231.0,510.0,2357.0,18914.0
2020-01-27,1239.0,511.0,2489.0,18914.0
2020-01-30,1205.0,522.0,2400.0,18536.0
2020-02-02,1225.0,535.0,2405.0,19050.0
2020-02-03,1220.0,527.0,2396.0,19350.0
2020-02-10,1219.0,544.0,2479.0,18963.0
2020-02-12,1229.0,579.0,2486.0,18584.0
2020-02-16,1429.0,604.0,2601.0,18213.0
2020-02-18,1429.0,623.0,2783.0,17849.0
2020-02-25,1837.0,683.0,3119.0,19633.0
2020-02-26,1880.0,726.0,3105.0,21596.0
2020-02-27,1809.0,709.0,2950.0,23330.0
2020-03-01,1772.0,672.0,2851.0,22000.0
2020-03-03,1724.0,640.0,2720.0,22440.0
2020-03-05,1616.0,590.0,2665.0,21553.0
2020-03-16,1418.0,549.0,2498.0,20286.0
2020-03-17,1359.0,514.0,2300.0,19200.0
2020-07-01,1575.0,583.0,2850.0,19584.0
2020-07-05,1465.0,557.0,2565.0,19193.0
2020-07-08,1527.0,590.0,2800.0,19186.0
2020-07-09,1538.0,600.0,2740.0,19569.0
2020-07-12,1573.0,603.0,2744.0,19500.0
2020-07-14,1606.0,600.0,2760.0,19111.0
2020-07-15,1599.0,598.0,2815.0,18800.0
2020-07-21,1755.0,615.0,2800.0,19975.0
2020-07-22,1739.0,608.0,2760.0,19966.0
2020-07-26,1787.0,621.0,2830.0,19554.0
2020-07-27,1741.0,625.0,2800.0,19600.0
2020-07-28,1706.0,618.0,2744.0,19210.0
